[2026-02-28 18:47:36] Oref Alert Daemon started (PID: 112807)
[2026-02-28 18:47:36] Check interval: 10s | Log interval: 60s
[2026-02-28 18:48:19] Daemon stopping...
[2026-02-28 18:48:21] Oref Alert Daemon started (PID: 113143)
[2026-02-28 18:48:21] Check interval: 30s | Log interval: 60s
[2026-02-28 18:49:47] Status check: 4 checks completed, API healthy
[2026-03-01 04:55:26] Status check: 1185 checks completed, API healthy
[2026-03-01 04:56:49] Status check: 1188 checks completed, API healthy
[2026-03-01 04:58:11] Status check: 1191 checks completed, API healthy
[2026-03-01 04:59:33] Status check: 1194 checks completed, API healthy
[2026-03-01 05:00:59] Status check: 1197 checks completed, API healthy
[2026-03-01 05:02:21] Status check: 1200 checks completed, API healthy
[2026-03-01 05:03:43] Status check: 1203 checks completed, API healthy
[2026-03-01 05:05:05] Status check: 1206 checks completed, API healthy
[2026-03-01 05:06:28] Status check: 1209 checks completed, API healthy
[2026-03-01 05:07:53] Status check: 1212 checks completed, API healthy
[2026-03-01 05:09:15] Status check: 1215 checks completed, API healthy
[2026-03-01 05:10:38] Status check: 1218 checks completed, API healthy
[2026-03-01 05:12:00] Status check: 1221 checks completed, API healthy
[2026-03-01 05:13:22] Status check: 1224 checks completed, API healthy
[2026-03-01 05:14:47] Status check: 1227 checks completed, API healthy
[2026-03-01 05:16:10] Status check: 1230 checks completed, API healthy
[2026-03-01 05:17:32] Status check: 1233 checks completed, API healthy
[2026-03-01 05:18:54] Status check: 1236 checks completed, API healthy
[2026-03-01 05:20:16] Status check: 1239 checks completed, API healthy
[2026-03-01 05:21:41] Status check: 1242 checks completed, API healthy
[2026-03-01 05:23:04] Status check: 1245 checks completed, API healthy
[2026-03-01 05:24:26] Status check: 1248 checks completed, API healthy
[2026-03-01 05:25:48] Status check: 1251 checks completed, API healthy
[2026-03-01 05:27:10] Status check: 1254 checks completed, API healthy
[2026-03-01 05:28:32] Status check: 1257 checks completed, API healthy
[2026-03-01 05:29:57] Status check: 1260 checks completed, API healthy
[2026-03-01 05:31:20] Status check: 1263 checks completed, API healthy
[2026-03-01 05:32:42] Status check: 1266 checks completed, API healthy
[2026-03-01 05:34:04] Status check: 1269 checks completed, API healthy
[2026-03-01 05:35:26] Status check: 1272 checks completed, API healthy
[2026-03-01 05:36:51] Status check: 1275 checks completed, API healthy
[2026-03-01 05:38:13] Status check: 1278 checks completed, API healthy
[2026-03-01 05:39:36] Status check: 1281 checks completed, API healthy
[2026-03-01 05:40:58] Status check: 1284 checks completed, API healthy
[2026-03-01 05:42:20] Status check: 1287 checks completed, API healthy
[2026-03-01 05:43:45] Status check: 1290 checks completed, API healthy
[2026-03-01 05:45:07] Status check: 1293 checks completed, API healthy
[2026-03-01 05:46:29] Status check: 1296 checks completed, API healthy
[2026-03-01 05:47:51] Status check: 1299 checks completed, API healthy
[2026-03-01 05:49:13] Status check: 1302 checks completed, API healthy
[2026-03-01 05:50:38] Status check: 1305 checks completed, API healthy
[2026-03-01 05:52:00] Status check: 1308 checks completed, API healthy
[2026-03-01 05:53:22] Status check: 1311 checks completed, API healthy
[2026-03-01 05:54:44] Status check: 1314 checks completed, API healthy
[2026-03-01 05:56:06] Status check: 1317 checks completed, API healthy
[2026-03-01 05:57:28] Status check: 1320 checks completed, API healthy
[2026-03-01 05:58:53] Status check: 1323 checks completed, API healthy
[2026-03-01 06:00:15] Status check: 1326 checks completed, API healthy
[2026-03-01 06:01:37] Status check: 1329 checks completed, API healthy
[2026-03-01 06:02:59] Status check: 1332 checks completed, API healthy
[2026-03-01 06:04:21] Status check: 1335 checks completed, API healthy
[2026-03-01 06:05:45] Status check: 1338 checks completed, API healthy
[2026-03-01 06:07:07] Status check: 1341 checks completed, API healthy
[2026-03-01 06:08:29] Status check: 1344 checks completed, API healthy
[2026-03-01 06:09:55] Status check: 1347 checks completed, API healthy
[2026-03-01 06:11:17] Status check: 1350 checks completed, API healthy
[2026-03-01 06:12:39] Status check: 1353 checks completed, API healthy
[2026-03-01 06:14:04] Status check: 1356 checks completed, API healthy
[2026-03-01 06:15:25] Status check: 1359 checks completed, API healthy
[2026-03-01 06:16:51] Status check: 1362 checks completed, API healthy
[2026-03-01 06:18:13] Status check: 1365 checks completed, API healthy
[2026-03-01 06:19:35] Status check: 1368 checks completed, API healthy
[2026-03-01 06:20:59] Status check: 1371 checks completed, API healthy
[2026-03-01 06:21:57] Daemon stopping...
[2026-03-01 06:21:58] Oref Alert Daemon started (PID: 925166)
[2026-03-01 06:21:58] Check interval: 30s | Log interval: 60s
[2026-03-01 06:23:23] Status check: 4 checks completed, API healthy
[2026-03-01 06:24:44] Status check: 7 checks completed, API healthy
[2026-03-01 06:26:06] Status check: 10 checks completed, API healthy
[2026-03-01 06:27:28] Status check: 13 checks completed, API healthy
[2026-03-01 06:28:50] Status check: 16 checks completed, API healthy
[2026-03-01 06:30:15] Status check: 19 checks completed, API healthy
[2026-03-01 06:31:40] Status check: 22 checks completed, API healthy
[2026-03-01 06:33:02] Status check: 25 checks completed, API healthy
[2026-03-01 06:34:24] Status check: 28 checks completed, API healthy
[2026-03-01 06:35:46] Status check: 31 checks completed, API healthy
[2026-03-01 06:37:08] Status check: 34 checks completed, API healthy
[2026-03-01 06:38:36] Status check: 37 checks completed, API healthy
[2026-03-01 06:39:58] Status check: 40 checks completed, API healthy
[2026-03-01 06:41:19] Status check: 43 checks completed, API healthy
[2026-03-01 06:42:42] Status check: 46 checks completed, API healthy
[2026-03-01 06:44:04] Status check: 49 checks completed, API healthy
[2026-03-01 06:45:26] Status check: 52 checks completed, API healthy
[2026-03-01 06:46:51] Status check: 55 checks completed, API healthy
[2026-03-01 06:48:13] Status check: 58 checks completed, API healthy
[2026-03-01 06:49:35] Status check: 61 checks completed, API healthy
[2026-03-01 06:50:57] Status check: 64 checks completed, API healthy
[2026-03-01 06:52:19] Status check: 67 checks completed, API healthy
[2026-03-01 06:53:43] Status check: 70 checks completed, API healthy
[2026-03-01 06:54:11] ERROR: Alert check failed (attempt 1/3)
[2026-03-01 06:54:38] ERROR: Alert check failed (attempt 2/3)
[2026-03-01 06:55:05] ERROR: Alert check failed (attempt 3/3)
failed to get device list: failed to send usync query: info query timed out
[2026-03-01 06:56:13] Status check: 73 checks completed, API healthy
[2026-03-01 06:56:43] Status check: 74 checks completed, API healthy
[2026-03-01 06:58:05] Status check: 77 checks completed, API healthy
[2026-03-01 06:59:22] Daemon stopping...
[2026-03-01 06:59:23] Oref Alert Daemon started (PID: 972383)
[2026-03-01 06:59:23] Check interval: 30s | Log interval: 60s
[2026-03-01 07:00:45] Status check: 4 checks completed, API healthy
[2026-03-01 07:02:11] Status check: 7 checks completed, API healthy
[2026-03-01 07:03:33] Status check: 10 checks completed, API healthy
[2026-03-01 07:04:57] Status check: 13 checks completed, API healthy
[2026-03-01 07:06:19] Status check: 16 checks completed, API healthy
[2026-03-01 07:07:42] Status check: 19 checks completed, API healthy
[2026-03-01 07:09:09] Status check: 22 checks completed, API healthy
[2026-03-01 07:10:31] Status check: 25 checks completed, API healthy
[2026-03-01 07:11:53] Status check: 28 checks completed, API healthy
[2026-03-01 07:13:17] Status check: 31 checks completed, API healthy
[2026-03-01 07:14:39] Status check: 34 checks completed, API healthy
[2026-03-01 07:16:01] Status check: 37 checks completed, API healthy
[2026-03-01 07:17:23] Status check: 40 checks completed, API healthy
[2026-03-01 07:18:45] Status check: 43 checks completed, API healthy
[2026-03-01 07:20:10] Status check: 46 checks completed, API healthy
[2026-03-01 07:21:36] Status check: 49 checks completed, API healthy
[2026-03-01 07:22:58] Status check: 52 checks completed, API healthy
[2026-03-01 07:24:23] Status check: 55 checks completed, API healthy
[2026-03-01 07:25:50] Status check: 58 checks completed, API healthy
[2026-03-01 07:27:19] Status check: 61 checks completed, API healthy
[2026-03-01 07:28:18] Status check: 63 checks completed, API healthy
[2026-03-01 07:29:46] Status check: 66 checks completed, API healthy
[2026-03-01 07:31:15] Status check: 69 checks completed, API healthy
[2026-03-01 07:32:15] Status check: 71 checks completed, API healthy
[2026-03-01 07:33:45] Status check: 74 checks completed, API healthy
[2026-03-01 07:34:45] Status check: 76 checks completed, API healthy
[2026-03-01 07:35:45] Status check: 78 checks completed, API healthy
[2026-03-01 07:36:46] Status check: 80 checks completed, API healthy
[2026-03-01 07:37:46] Status check: 82 checks completed, API healthy
[2026-03-01 07:38:46] Status check: 84 checks completed, API healthy
[2026-03-01 07:39:47] Status check: 86 checks completed, API healthy
[2026-03-01 07:40:47] Status check: 88 checks completed, API healthy
[2026-03-01 07:41:47] Status check: 90 checks completed, API healthy
[2026-03-01 07:42:48] Status check: 92 checks completed, API healthy
[2026-03-01 07:43:48] Status check: 94 checks completed, API healthy
[2026-03-01 07:44:48] Status check: 96 checks completed, API healthy
[2026-03-01 07:45:49] Status check: 98 checks completed, API healthy
[2026-03-01 07:46:49] Status check: 100 checks completed, API healthy
[2026-03-01 07:47:49] Status check: 102 checks completed, API healthy
[2026-03-01 07:48:49] Status check: 104 checks completed, API healthy
[2026-03-01 07:49:50] Status check: 106 checks completed, API healthy
[2026-03-01 07:50:50] Status check: 108 checks completed, API healthy
[2026-03-01 07:51:50] Status check: 110 checks completed, API healthy
[2026-03-01 07:52:51] Status check: 112 checks completed, API healthy
[2026-03-01 07:53:51] Status check: 114 checks completed, API healthy
[2026-03-01 07:54:51] Status check: 116 checks completed, API healthy
[2026-03-01 07:55:56] Status check: 118 checks completed, API healthy
[2026-03-01 07:56:56] Status check: 120 checks completed, API healthy
[2026-03-01 07:57:57] Status check: 122 checks completed, API healthy
[2026-03-01 07:58:57] Status check: 124 checks completed, API healthy
[2026-03-01 07:59:57] Status check: 126 checks completed, API healthy
[2026-03-01 08:00:57] Status check: 128 checks completed, API healthy
[2026-03-01 08:01:58] Status check: 130 checks completed, API healthy
[2026-03-01 08:02:58] Status check: 132 checks completed, API healthy
[2026-03-01 08:03:58] Status check: 134 checks completed, API healthy
[2026-03-01 08:04:59] Status check: 136 checks completed, API healthy
[2026-03-01 08:05:59] Status check: 138 checks completed, API healthy
[2026-03-01 08:06:59] Status check: 140 checks completed, API healthy
[2026-03-01 08:08:00] Status check: 142 checks completed, API healthy
[2026-03-01 08:09:00] Status check: 144 checks completed, API healthy
[2026-03-01 08:10:00] Status check: 146 checks completed, API healthy
[2026-03-01 08:11:01] Status check: 148 checks completed, API healthy
[2026-03-01 08:12:01] Status check: 150 checks completed, API healthy
[2026-03-01 08:13:01] Status check: 152 checks completed, API healthy
[2026-03-01 08:14:02] Status check: 154 checks completed, API healthy
[2026-03-01 08:15:02] Status check: 156 checks completed, API healthy
[2026-03-01 08:16:02] Status check: 158 checks completed, API healthy
[2026-03-01 08:17:03] Status check: 160 checks completed, API healthy
[2026-03-01 08:18:03] Status check: 162 checks completed, API healthy
[2026-03-01 08:19:03] Status check: 164 checks completed, API healthy
[2026-03-01 08:20:03] Status check: 166 checks completed, API healthy
[2026-03-01 08:21:04] Status check: 168 checks completed, API healthy
[2026-03-01 08:22:04] Status check: 170 checks completed, API healthy
[2026-03-01 08:23:04] Status check: 172 checks completed, API healthy
[2026-03-01 08:24:05] Status check: 174 checks completed, API healthy
[2026-03-01 08:25:05] Status check: 176 checks completed, API healthy
[2026-03-01 08:26:05] Status check: 178 checks completed, API healthy
[2026-03-01 08:27:06] Status check: 180 checks completed, API healthy
[2026-03-01 08:28:06] Status check: 182 checks completed, API healthy
[2026-03-01 08:29:06] Status check: 184 checks completed, API healthy
[2026-03-01 08:30:06] Status check: 186 checks completed, API healthy
[2026-03-01 08:31:07] Status check: 188 checks completed, API healthy
[2026-03-01 08:32:07] Status check: 190 checks completed, API healthy
[2026-03-01 08:33:07] Status check: 192 checks completed, API healthy
[2026-03-01 08:34:08] Status check: 194 checks completed, API healthy
[2026-03-01 08:35:08] Status check: 196 checks completed, API healthy
[2026-03-01 08:36:08] Status check: 198 checks completed, API healthy
[2026-03-01 08:37:09] Status check: 200 checks completed, API healthy
[2026-03-01 08:38:09] Status check: 202 checks completed, API healthy
[2026-03-01 08:39:09] Status check: 204 checks completed, API healthy
[2026-03-01 08:40:09] Status check: 206 checks completed, API healthy
[2026-03-01 08:41:10] Status check: 208 checks completed, API healthy
[2026-03-01 08:42:10] Status check: 210 checks completed, API healthy
[2026-03-01 08:43:10] Status check: 212 checks completed, API healthy
[2026-03-01 08:44:11] Status check: 214 checks completed, API healthy
[2026-03-01 08:45:11] Status check: 216 checks completed, API healthy
[2026-03-01 08:46:11] Status check: 218 checks completed, API healthy
[2026-03-01 08:47:12] Status check: 220 checks completed, API healthy
[2026-03-01 08:48:12] Status check: 222 checks completed, API healthy
[2026-03-01 08:49:12] Status check: 224 checks completed, API healthy
[2026-03-01 08:50:17] Status check: 226 checks completed, API healthy
[2026-03-01 08:51:17] Status check: 228 checks completed, API healthy
[2026-03-01 08:52:18] Status check: 230 checks completed, API healthy
[2026-03-01 08:53:18] Status check: 232 checks completed, API healthy
[2026-03-01 08:54:18] Status check: 234 checks completed, API healthy
[2026-03-01 08:55:19] Status check: 236 checks completed, API healthy
[2026-03-01 08:56:19] Status check: 238 checks completed, API healthy
[2026-03-01 08:57:19] Status check: 240 checks completed, API healthy
